fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
2017-05-13,33.0,1058.0,26.0,1,399.0,44.0,189.0,36.0,20.0
2017-05-14,29.0,1002.0,52.0,0,722.0,55.0,290.0,52.0,30.0
2017-05-15,24.0,1114.0,54.0,1,123.0,74.0,6.0,47.0,25.0
2017-05-16,24.0,1029.0,69.0,0,746.0,63.0,248.0,35.0,29.0
2017-05-17,30.0,1010.0,48.0,1,997.0,50.0,401.0,37.0,25.0
2017-05-18,31.0,1013.0,72.0,0,706.0,45.0,395.0,64.0,31.0
2017-05-19,12.0,1013.0,86.0,0,265.0,78.0,306.0,56.0,23.0
2017-05-20,18.0,1007.0,54.0,1,566.0,23.0,329.0,49.0,27.0
2017-05-21,27.0,946.0,66.0,0,392.0,91.0,181.0,51.0,27.0
2017-05-22,26.0,951.0,38.0,0,675.0,11.0,315.0,56.0,24.0
2017-05-23,30.0,1070.0,99.0,1,641.0,21.0,109.0,58.0,28.0
2017-05-24,33.0,1021.0,43.0,0,149.0,94.0,437.0,53.0,28.0
2017-05-25,17.0,1059.0,93.0,0,568.0,16.0,192.0,49.0,29.0
2017-05-26,24.0,1000.0,79.0,0,552.0,50.0,439.0,52.0,22.0
2017-05-27,31.0,982.0,42.0,1,271.0,59.0,94.0,46.0,17.0
2017-05-28,29.0,937.0,32.0,1,239.0,60.0,287.0,47.0,21.0
2017-05-29,23.0,1046.0,64.0,1,915.0,57.0,223.0,50.0,20.0
2017-05-30,24.0,971.0,60.0,0,752.0,41.0,294.0,63.0,29.0
2017-05-31,30.0,1065.0,86.0,0,175.0,73.0,367.0,45.0,37.0
2017-06-01,21.0,991.0,52.0,1,838.0,48.0,361.0,53.0,25.0
2017-06-02,26.0,981.0,90.0,0,563.0,64.0,478.0,52.0,29.0
2017-06-03,32.0,989.0,85.0,1,978.0,62.0,247.0,46.0,27.0
2017-06-04,18.0,1019.0,65.0,0,571.0,19.0,438.0,65.0,34.0
2017-06-05,18.0,989.0,82.0,0,993.0,32.0,111.0,72.0,18.0
2017-06-06,30.0,989.0,50.0,1,659.0,76.0,269.0,73.0,21.0
2017-06-07,21.0,1021.0,45.0,0,465.0,42.0,490.0,43.0,34.0
2017-06-08,23.0,930.0,69.0,0,488.0,52.0,204.0,59.0,21.0
2017-06-09,17.0,952.0,86.0,1,301.0,19.0,417.0,57.0,27.0
2017-06-10,23.0,1042.0,55.0,0,831.0,66.0,475.0,55.0,40.0
2017-06-11,28.0,992.0,62.0,1,305.0,34.0,239.0,58.0,20.0
2017-06-12,28.0,977.0,63.0,0,851.0,6.0,273.0,35.0,25.0
2017-06-13,29.0,938.0,82.0,0,521.0,79.0,140.0,44.0,31.0
